time,amplitude - raw,amplitude - filtered,trigger
0.00390625,895.0391006842619,91.37058202807931,0.0
0.0078125,903.7558040078202,94.6992718103002,0.0
0.01171875,903.3037023460411,99.92972687394611,0.0
0.015625,896.7421187683285,107.32296723924864,0.0
0.01953125,893.2383308895405,117.71651114315854,0.0
0.0234375,889.7360703812317,130.68136927387218,0.0
0.02734375,880.1258553274682,145.45646344469534,0.0
0.03125,904.1223729227761,165.92321165472094,0.0
0.03515625,909.7782258064516,186.6791167867779,0.0
0.0390625,903.212060117302,208.20187137798638,0.0
0.04296875,905.8131720430108,232.47731400874997,0.0
0.046875,899.2485337243402,257.4502542736597,0.0
0.05078125,886.5774682306941,283.22641879516885,0.0
0.0546875,907.5146627565982,313.6339850867954,0.0
0.05859375,913.1674608993158,343.54858996482216,0.0
0.0625,909.652981427175,373.44032695779407,0.0
0.06640625,915.3042521994134,405.0003800288972,0.0
0.0703125,908.7335043988269,435.891282010668,0.0
0.07421875,896.056329423265,466.5574647034788,0.0
0.078125,907.8231915933528,499.917004808674,0.0
0.08203125,910.4197214076247,532.4021006056846,0.0
0.0859375,906.9052419354838,564.1755517229197,0.0
0.08984375,912.5565127077224,596.6287526277323,0.0
0.09375,912.0952468230694,628.0599308201054,0.0
0.09765625,899.4150171065494,657.6962174328942,0.0
0.1015625,895.9051197458456,687.5420706461084,0.0
0.10546875,898.5062316715544,717.1335894507713,0.0
0.109375,891.9415933528837,744.7895730220586,0.0
0.11328125,897.5989736070381,772.5595428830142,0.0
0.1171875,900.1985581622679,798.790037677267,0.0
0.12109375,893.6323924731182,822.7726376457247,0.0
0.125,877.9050586510264,844.4085555203359,0.0
0.12890625,880.51380742913,866.3890095438168,0.0
0.1328125,873.9568059628543,885.8495729013795,0.0
0.13671875,876.567082111437,904.6012658397076,0.0
0.140625,876.1210899315738,921.3698429353313,0.0
0.14453125,872.6203567937439,936.1378593916891,0.0
0.1484375,863.0116691104594,948.5790366542036,0.0
0.15234375,862.5717864125122,960.2326619125931,0.0
0.15625,856.0224217986314,969.5531057311089,0.0
0.16015625,858.640334799609,978.1128762953939,0.0
0.1640625,855.147238514174,984.3984055864545,0.0
0.16796875,854.7104105571847,989.3892006924087,0.0
0.171875,857.3283235581623,993.1436987557106,0.0
0.17578125,859.9447091886608,995.4266634581832,0.0
0.1796875,853.39534457478,995.3881370498125,0.0
0.18359375,852.9585166177908,994.6547851923941,0.0
0.1875,849.4669477028348,992.3758365832764,0.0
0.19140625,842.922165200391,988.6355407812528,0.0
0.1953125,863.873106060606,986.6306611525296,0.0
0.19921875,869.5396505376344,982.1487002725212,0.0
0.203125,862.9841764418377,975.6291969918097,0.0
0.20703125,865.5959799608993,969.342812651438,0.0
0.2109375,862.0967741935484,961.8361523088307,0.0
0.21484375,849.4348729227761,952.8902416581719,0.0
0.21875,879.5454545454546,947.8699223421738,0.0
0.22265625,888.2575757575758,940.3975782933708,0.0
0.2265625,887.8008919843597,931.8522439659856,0.0
0.23046875,890.3989491691104,923.5732297492629,0.0
0.234375,886.8859970674487,914.7154941113723,0.0
0.23828125,868.100867546432,904.4136495909655,0.0
0.2421875,895.1460166177908,898.9250657675126,0.0
0.24609375,900.7942326490713,891.5190260950427,0.0
0.25,900.3299120234603,883.8438401824784,0.0
0.25390625,909.0298142717497,877.5139701907749,0.0
0.2578125,908.5609115347017,870.7281781428446,0.0
0.26171875,889.7635630498534,862.593715603226,0.0
0.265625,898.4680474095796,857.770382377175,0.0
0.26953125,904.1132086999022,853.1797924707018,0.0
0.2734375,900.5910923753667,848.2373641109174,0.0
0.27734375,912.3442082111436,845.4444524515326,0.0
0.28125,914.9269916911046,842.3430647487037,0.0
0.28515625,899.1798020527859,838.0114209575997,0.0
0.2890625,895.6592130987292,835.5222091635038,0.0
0.29296875,898.249633431085,834.224343219402,0.0
0.296875,894.7290444770283,832.8607888972105,0.0
0.30078125,903.4289467253176,833.2752956335139,0.0
0.3046875,906.0147849462365,833.5952674154468,0.0
0.30859375,896.3801319648094,833.1816337784958,0.0
0.3125,886.7500610948191,833.2273940428867,0.0
0.31640625,889.343536168133,834.9168557005429,0.0
0.3203125,882.7712609970674,836.0347970237575,0.0
0.32421875,888.421004398827,838.7118435551315,0.0
0.328125,891.0129521016618,841.3636108340702,0.0
0.33203125,884.4391495601172,843.3384857934014,0.0
0.3359375,880.9231427174975,845.8295203740876,0.0
0.33984375,883.5181451612902,849.0980081877342,0.0
0.34375,873.8926564027371,851.2407966919684,0.0
0.34765625,879.5454545454545,855.0035917394089,0.0
0.3515625,879.0857160312805,858.1786776385321,0.0
0.35546875,872.516495601173,860.734018793223,0.0
0.359375,884.2787756598241,865.1146936763823,0.0
0.36328125,889.9254643206257,868.824391968756,0.0
0.3671875,883.3501344086022,871.2326762103244,0.0
0.37109375,885.9420821114369,874.4819031735052,0.0
0.375,885.477761485826,877.3047475084231,0.0
0.37890625,872.794477028348,878.7443858311647,0.0
0.3828125,899.8289345063538,884.0490650140829,0.0
0.38671875,905.4664589442815,887.0316987626765,0.0
0.390625,901.936705767351,888.954221179981,0.0
0.39453125,907.5727028347997,891.6689496762589,0.0
0.3984375,904.04142228739,893.3079708579334,0.0
0.40234375,888.2927052785924,893.544475437363,0.0
0.40625,915.3179985337243,897.9413676074909,0.0
0.41015625,924.0010997067449,900.3220820658495,0.0
